review_text,true_label,Predicted Label,type
Atto 3's LED headlights have better throw and spread than the eMAS 7. Night driving is safer. 🔦🛣️,positive,positive,byd
"It’s the ""iPhone of cars."" It just works and the ecosystem is solid. 📱🍏",positive,positive,byd
Dashboard is intuitive 😎 easy to figure out controls,positive,positive,byd
"BYD seats comfy, EMAS firm",positive,positive,byd
"Seats adjustable, find perfect driving position easily",positive,positive,byd
Massive boot space! Managed to fit a whole stroller and 2 bags without folding seats. 👶🧳,positive,positive,byd
"Blade Battery is the ""Nokia 3310"" of batteries. Indestructible and safe. 🔋🛡️",positive,positive,byd
Transitioning from a Myvi to an Atto 3 feels like moving from a kancil to a spaceship. 🚀✨,positive,positive,byd
GPS is lagging behind by 50 meters. I missed my turn in Hartamas three times today. 🗺️🐌,negative,negative,byd
Public chargers sometimes slow or not reliable,negative,negative,byd
"Acceleration smooth and playful, highway overtakes fun",positive,positive,byd
"Ride absorbs bumps so well, passengers happy 😌",positive,positive,byd
Ride feels plush 😎 luxury vibes at an affordable price,positive,positive,byd
Those guitar strings are actually quite sturdy. My dog haven't broken them yet! 🐶🎸,positive,positive,byd
"Seats BYD supportive, Myvi uncomfortable long drive",positive,positive,byd
My infotainment screen went black while driving. Had to pull over and restart the car. Scary. 🖥️🌑,negative,negative,byd
"Interior smells like ""fresh plastic"" for months. Gives me a headache. 🤢👃",negative,negative,byd
"Steering light BYD, Myvi heavy and tiring in traffic",positive,positive,byd
"""Interior layout nice and tidy, buttons all easy to reach. Driving comfortable.""",positive,positive,byd
Panoramic roof glare is real 😎 needs blinds,negative,negative,byd
Turning circle is huge. I always need a 3-point turn at my office parking. 🎡📐,negative,negative,byd
"The new ""God's Eye C"" ADAS is much better. It doesn't panic at motorcycles like the older version did. 🤖🛡️",positive,positive,byd
Rear wipers smearing 😬 minor inconvenience 😭,negative,negative,byd
"""Check OBC System"" error again. This is my third time at the service center for the same charging issue. Starting to regret this. 🔌😤",negative,negative,byd
Interior ambient lighting that pulses with music is so cool at night in KL. 🌈🎶,positive,positive,byd
Love the voice commands 😱 less screen taps = big win,positive,positive,byd
The 2025 facelift is basically a price cut masquerading as a new model. I'm not fooled. 🧐📉,neutral,neutral,byd
"After the viral highway braking video, I'm checking my door sensors every morning. Traumatizing to watch. 😰🚪",negative,negative,byd
Best looking EV for the price. The lights at night look like a spaceship. 🛸✨,positive,positive,byd
"BYD AC works well for all passengers, EMAS weaker airflow",positive,positive,byd
Dashboard setup clean 🌟 easy to use & futuristic 😌,positive,positive,byd
The Atto 3 feels like it was designed as an EV from day one. eMAS 7 feels a bit compromised. 🏗️📐,positive,positive,byd
"Regenerative braking is too weak, even on the ""High"" setting. It doesn't feel like an EV. 🛑📉",negative,negative,byd
NFC digital key works perfectly on my iPhone 16. I haven't carried a physical key in weeks. 📱🔓,positive,positive,byd
Car feels sluggish on steep hills 😩,negative,negative,byd
"Dashboard minimalistic, looks expensive af",positive,positive,byd
Voice assistant misunderstands constantly 😭,negative,negative,byd
"Honestly love BYD Atto 3, every drive feels next level",positive,positive,byd
"Ride absorbs small bumps well, very comfortable",positive,positive,byd
Wind noise at 110km/h is quite noticeable around the side mirrors. Needs better sealing. 🌬️👂,negative,negative,byd
Some panels rattle a bit 😬 minor annoyances fr,negative,negative,byd
"TPMS gives false ""Low Pressure"" warnings in the morning. Sensors are too sensitive. 🛞⚠️",negative,negative,byd
"Love the lime green stitching on the black seats. Gives it a nice ""tech"" vibe without being too much. 🟢🖤",positive,positive,byd
Some voice commands don’t work properly 😕,negative,negative,byd
"Dashboard clean, minimal distractions while driving",positive,positive,byd
Apple CarPlay finally works perfectly after the 1.7 update. No more wire-wiggling! 📱✨,positive,positive,byd
Love the storage compartments 😍 organized AF,positive,positive,byd
"Steering precise, perfect for city traffic 👌",positive,positive,byd
The door handles look like carabiners. A bit stiff to pull sometimes. 🧗‍♂️🧤,neutral,negative,byd
Torque delivery on the Atto 3 is instant. Overtaking on the Federal Highway is a breeze. 🏎️💥,positive,positive,byd
"The 2024 model has a bigger screen but same battery. Not worth the ""upgrade."" 📺🤷‍♂️",neutral,negative,byd
"Tire squeak on turns, minor annoyance 😬",negative,negative,byd
Why is the radio volume linked to the speed? It gets so loud when I accelerate. Where is the setting to off this? 🔊😫,negative,negative,byd
"Suspension is way too soft. The car ""bounces"" too much after hitting a highway dip at 110km/h. 🌊🛳️",negative,negative,byd
The V2L adapter is a lifesaver for picnics. Powered a fan and a kettle for 3 hours and only used 2%. ☕️🔋,positive,positive,byd
It’s a bit wide. I keep worrying I’ll scrape the rims on those high curbs. 📏😰,neutral,negative,byd
Acceleration is smooth af 💨 legit feels like flying on city streets 😍,positive,positive,byd
Literally no regrets buying this EV 😍 worth every penny,positive,positive,byd
"Touchscreen lag when switching apps, minor annoyance 📱",negative,negative,byd
"Just reached 50k km. No major issues, just regular servicing. Solid car! ✅🚙",positive,positive,byd
Why do the door bins have strings? My groceries keep falling out. 🛒🎸,negative,negative,byd
"Steering heavy at low speed, feel tiring in traffic 😩",negative,negative,byd
It’s just a car lo. Does the job of getting me to work. Nothing too fancy but better than my old Axia. 🤷‍♂️,neutral,positive,byd
Why no frunk? Tesla has a huge one. BYD wasted all that space under the hood. 🎒🤔,negative,negative,byd
"Dashboard looks futuristic, touchscreen responsive af",positive,positive,byd
Rotation screen still blows my mind 😱 friends shook 😂,positive,negative,byd
BYD service is improving. Got my software updated in 2 hours with free coffee. ☕️🛠️,positive,positive,byd
The Atto 3 door handles are a conversation starter. Everyone who enters the car thinks they are cool. 🚪✨,positive,positive,byd
"""Quiet cabin, can play music or talk without shouting. Very chill lah.""",positive,positive,byd
Why do the vents look like dumbbells? I feel like I'm in a gym. 🏋️‍♂️🌬️,neutral,negative,byd
"It's a ""mom car"" but with sports car acceleration. Perfect for school runs. 🏫💨",positive,positive,byd
"Steering light and responsive, city driving effortless 😏",positive,positive,byd
"BYD ride fun, Myvi boring and slow",positive,positive,byd
Atto 3 Ultra range is better than the eMAS 7 Prime for the same price. 🔌🔋,positive,positive,byd
Does the car really have 480km range? I only get 380km max. Marketing talk only. 🤥🔋,negative,neutral,byd
150kW motor is more than enough. I can pull away from any Hilux with ease. 🏎️💨,positive,positive,byd
"Build quality is solid. No rattles or squeaks after 30,000km of driving. 🏗️✅",positive,positive,byd
"""Build Your Dreams"" logo finally removed from the back. It looks so much more professional with just ""BYD."" ✨📛",positive,positive,byd
Dashboard glare on sunny days affects visibility,negative,negative,byd
I hate the gear shifter. It’s way too big and bulky for a modern car. ⛴️🕹️,negative,negative,byd
"Why is the service interval every 12 months/20k km? It’s an EV, there’s no oil! 🛠️🤔",negative,negative,byd
"The torque delivery is so smooth. It doesn't give you that ""nausea"" feeling some other EVs do. 🏎️🌀",positive,positive,byd
Rear seats comfy 😁 friends love it 😆,positive,positive,byd
Apple CarPlay still doesn't support the full width of the 15.6-inch screen. Looks awkward. 📱📉,negative,negative,byd
"""Driving assist helpful in city, makes life easier during stop-and-go traffic.""",positive,positive,byd
The car is very stable on the highway even at 140km/h. Very impressive. ⚓️🏎️,positive,positive,byd
BYD’s V2L is more reliable. I’ve seen eMAS 7 users struggle with the adapter setup. ☕️⚡️,positive,positive,byd
Blind spot monitor glitches fr 😭 had to rely on mirrors,negative,negative,byd
"The ""Build Your Dreams"" text on the dashboard is still there, even if they removed it from the back. 📛🙄",negative,neutral,byd
Interior smells like weird plastic for the first month. Needs a lot of air fresheners. 🤢🍃,neutral,negative,byd
"The ""Surf Blue"" still looks amazing after a professional ceramic coating. 🌊✨",positive,positive,byd
Power tailgate is a lifesaver when my hands are full of shopping bags. 🛍️👐,positive,positive,byd
Atto 3 range is more predictable. WLTP 420km usually gives me a solid 360km in the city. 🏙️🔋,positive,positive,byd
"The ""Ultra"" badge looks cheap, like it was bought from Mr. DIY and stuck on. 📛🤡",negative,negative,byd
Rear camera glare in sun 🌞 visibility issues 😬,negative,negative,byd
"Acceleration smooth and predictable, easy to control",positive,positive,byd
Lane Keep Assist is too twitchy. It feels like the car is fighting me for control on the highway. 🛣️🤖,negative,negative,byd
Seats are comfy for long drives 😌 no back pain so far,positive,positive,byd
"The lime green piping on the black seats looks like a Razer gaming chair. A bit ""Ah Beng,"" but I like it. 🎮🟢",neutral,neutral,byd
"BYD drive enjoyable, EMAS boring",positive,positive,byd
AC weak if car full 🥵 not ideal,negative,negative,byd
8-year battery warranty vs. Proton’s shorter terms? BYD wins on peace of mind. 🛡️🔋,positive,positive,byd
USB-C ports everywhere 🔌 convenience maxed out 😎,positive,positive,byd
"""Automatic Emergency Braking"" is way too sensitive. It slammed the brakes because of a plastic bag on the road. 🛍️🛑",negative,negative,byd
"BYD charging fast at home, EMAS petrol refill still slower",positive,positive,byd
Cabin space surprisingly roomy for a small family,positive,positive,byd
BYD’s app is excellent. I can pre-cool the car 5 minutes before I leave the office. No more sauna! 📱❄️,positive,positive,byd
"Dashboard bright and readable, even in sunlight",positive,positive,byd
"Rear AC airflow uneven, back passengers uncomfortable",negative,negative,byd
"The ""Acoustic Glass"" doesn't cover the rear windows, so you still hear a lot of road noise from the back. 🌬️👂",negative,negative,byd
"Driving assist works well in traffic jams, very helpful 🚦",positive,positive,byd
"Cabin space good, can fit 3 adults comfortably at back",positive,positive,byd
Why no 11kW AC charging? 7kW takes nearly 10 hours for a full charge at home. 🔌🐌,negative,negative,byd
Cabin quiet = perfect for music 🎶 vibes only 😎,positive,positive,byd
Coolest car among my friends 😎 everyone wants a ride,positive,positive,byd
"RM123k is a steal. If you are still buying a petrol SUV in 2025, you are losing out. 💸🏎️",positive,negative,byd
"Dashboard clean, minimal distractions while driving",positive,positive,byd
Digital key on the phone means I can leave my wallet and keys at home. True freedom! 📱🔓,positive,positive,byd
"Seats supportive for long hours on the road, back feels fine",positive,positive,byd
Dashboard feels cluttered sometimes 😕 not intuitive,negative,negative,byd
Why is the charging port on the side and not the front? Hard to park at some spots. 🔌⛽,neutral,negative,byd
"Steering light and accurate, city driving effortless",positive,positive,byd
"The ""Bye Bye BYD"" greeting is so extra but I lowkey love it. Feels like the car has a soul. 👋✨",positive,positive,byd
"Batman tyres are absolute trash. No grip when it rains, almost slid today. Change them immediately if you buy! ⛈️🚫",negative,negative,byd
My wife loves the ambient lighting that follows the music beat. Makes every night drive a party! 💃🌈,positive,positive,byd
"Exterior design clean, feels premium even without flashy colors",positive,positive,byd
Zero petrol cost for 2 years now. Already saved RM15k. The car is paying for itself! 💰🥳,positive,positive,byd
App notifications bug out 😑 very frustrating 😤,negative,negative,byd
360km real-world range is more than enough for my weekly commute. 🔌📅,positive,positive,byd
Instant torque never gets old. Gapping modified Civics at the lights is fun! 🚦🏎️,positive,positive,byd
Managed to fit a whole mountain bike in the back with seats folded. Very practical! 🚲📦,positive,positive,byd
"Dashboard intuitive, easy to find everything while driving",positive,positive,byd
"The ""Surf Blue"" color is iconic. It looks different in every lighting condition. 🌊💎",positive,positive,byd
Software 1.7.1 is much snappier. No more Waze lag when the car is hot. 🖥️⚡️,positive,positive,byd
Quiet cabin = perfect for music sessions 🎶 vibey af,positive,positive,byd
"The ""woooo"" sound for pedestrians makes me feel like a UFO is landing. A bit paiseh in the parking lot. 🛸🤣",neutral,negative,byd
Suspension is still a bit soft for Genting runs. Feels like a boat on those sharp turns. ⛰️🚢,negative,negative,byd
"Steering accurate and precise, easy on tight corners",positive,positive,byd
"Interior modern and neat, really love the vibe inside",positive,positive,byd
Rear camera glare in sun 🌞 visibility issues 😬,negative,negative,byd
Service booking is a joke. 4 weeks wait just for a tire rotation and software check? Need more SCs! 🗓️😤,negative,negative,byd
"Dashboard minimalistic and organized, easy to glance info",positive,positive,byd
"App sometimes disconnect, must relog few times, annoying",negative,negative,byd
"Road noise noticeable on rough pavement, feel not very insulated",negative,negative,byd
"BYD ambient lighting aesthetic, Myvi basic interior",positive,positive,byd
"Cabin quiet, can play music without engine noise at all",positive,positive,byd
"Friends impressed with BYD looks, Proton ordinary only",positive,positive,byd
"Infotainment slow to load maps, minor irritation",negative,negative,byd
No Apple CarPlay while driving 😑 kinda lame for Gen Z,negative,negative,byd
410km WLTP is a scam. I get 320km max if I use the highway at 110km/h. 🤥🛣️,negative,negative,byd
Love the ambient lighting colors. It changes with the music and it’s a vibe. 🌈🎶,positive,positive,byd
Steering feedback weird low-speed 😬 awkward 😭,negative,negative,byd
Really like the ambient lighting 🌈 super aesthetic,positive,positive,byd
Power tailgate is a bit slow. I could open it manually faster myself. 🐌👐,negative,negative,byd
"The rotating screen is cool for 5 minutes, then you realize Waze looks better in landscape anyway. 🔄🙄",neutral,neutral,byd
Why is there no physical button for the fan speed? Scrolling through menus is dangerous. 🚫🔘,negative,negative,byd
Steering heavy at very low speeds occasionally,negative,negative,byd
"BYD V2L useful on camping, EMAS nothing",positive,positive,byd
Just got my OTA update. Didn't notice any change except the icons look slightly different. 🤷‍♂️📲,neutral,neutral,byd
My NFC card stopped working. Had to wait for my wife to bring the spare key. 💳💢,negative,negative,byd
Atto 3's dashboard materials feel more premium than the hard plastics in the eMAS 7. 🛋️💎,positive,positive,byd
BYD app is so laggy since the last update. Sometimes I can't even unlock the car via NFC. 📱💢,negative,positive,byd
The acoustic glass makes a huge difference. Can't even hear the buses outside. 🤫💎,positive,positive,byd
"My car just ""brick"" in the middle of the federal highway. Driver door sensor fault. I’m traumatized. 💀🛣️",negative,negative,byd
"""Some plastics inside feel cheap, not premium as advertised.""",negative,negative,byd
Ambient lighting = aesthetic goals 🌈 love the vibes ✨,positive,positive,byd
The screen responsiveness in e.MAS 7 is actually decent. No annoying lag so far.,positive,positive,emas
Exterior details look classy,positive,positive,emas
e.MAS 7 handles bumps pretty well. Ride quality feels comfortable overall.,positive,positive,emas
It’s a very safe choice for families. The 5-star ASEAN NCAP rating with a 92.57 score gave me peace of mind.,positive,positive,emas
"Gas car shakes on small bumps, EV smooth AF",positive,positive,emas
Standard tires are a bit noisy. Might swap them out for Michelins soon.,neutral,negative,emas
"Fuel efficiency is disappointing, lowkey sad",negative,negative,emas
"e.MAS 7 feels like a car made for everyday use. Easy, smooth, and quiet.",positive,positive,emas
A PROUD MOMENT FOR THE COUNTRY. This car proves we can build world-class EVs. 🇲🇾🚀,positive,positive,emas
Fast charging at a DC station is quick and easy. Very convenient for road trips. ⚡💨,positive,positive,emas
Noise in the cabin is too much,negative,negative,emas
"The price point is a bit high for a Proton, but I guess the battery tech is expensive.",neutral,neutral,emas
The lane departure beep is way too loud and can be quite startling to the driver. 📢👶,negative,negative,emas
Cabin layout is spacious and intuitive,positive,positive,emas
The hidden storage under the rear seat is a very clever way to use extra space. 😎,positive,positive,emas
Interior lighting at night gives soft cozy vibes. e.MAS 7 lowkey nailed that ✨,positive,positive,emas
DC charging is much slower than they advertised. I never hit the peak speeds.,negative,negative,emas
"Driving an EV is a different experience. It's calm, but I do miss the engine sound.",neutral,neutral,emas
"Not bad, not great. e.MAS 7 is just average in my opinion.",negative,negative,emas
"Lowkey disappointed, EV feels underpowered sometimes",negative,negative,emas
The lane departure beep is so loud it wakes up my sleeping baby. 👶🚫📢,negative,negative,emas
The key fob feels like it was made from recycled plastic. It lacks any premium weight.,negative,negative,emas
"Interior fit and finish are excellent. It feels like a very solid, well-built car.",positive,positive,emas
The seats are a bit too firm for my liking. I feel stiff after a two-hour drive. 🪵🥴,negative,negative,emas
"The frunk is small, but it's the perfect size for my first-aid kit and emergency tools.",positive,positive,emas
This is a very refined product. It shows how much Proton has improved over the years.,positive,positive,emas
"e.MAS 7 feels underwhelming, not exciting",negative,negative,emas
I feel like I'm driving a piece of the future. It’s a very advanced vehicle. 🚀✨,positive,positive,emas
The car is quiet but that’s all I liked. Everything else felt basic.,negative,neutral,emas
Acceleration isn’t impressive,negative,negative,emas
"The silver trim around the vents reflects in the side mirrors, which is very distracting.",negative,negative,emas
I love the minimalist cabin. It makes for a much more relaxing commute. 😌✨,positive,positive,emas
"Honestly, this model is low-key better than its main Chinese rivals. 😤",positive,positive,emas
e.MAS 7 just feels relaxing to drive. Put on music and vibe the whole way 🎶,positive,positive,emas
Gas mileage lower than expected,negative,negative,emas
"Aircon barely works in the summer, weak",negative,negative,emas
"Suspension damping is soft, which makes it very comfortable over potholes.",positive,positive,emas
"EV torque inconsistent at low speeds, gas car smooth",negative,negative,emas
Exterior details are subtle and classy,positive,positive,emas
Steering and brakes feel balanced,positive,positive,emas
"Low-key, e.MAS 7 just makes BYD feel basic",positive,positive,emas
"Interior tech is intuitive, feels like a spaceship",positive,positive,emas
Seats are supportive for longer drives,positive,positive,emas
The hidden storage under the rear seat is a very clever way to use extra space. 😎,positive,positive,emas
e.MAS 7 handles tight corners like a pro,positive,positive,emas
Handling awkward in tight turns,negative,negative,emas
Lane keep assist in the BYD is much smoother. Proton’s version is a death trap. 🥊🚗,negative,negative,emas
e.MAS 7 is okay for commuting but I wouldn’t be hyped owning it.,negative,negative,emas
It’s not bad but also not impressive. e.MAS 7 feels average at best.,negative,negative,emas
The sun visor is poorly designed. It doesn't block glare coming from the side window.,negative,negative,emas
"The white color is a bit plain, but it stays remarkably cool in the Malaysian sun.",neutral,neutral,emas
Feels like a solid all-rounder,positive,positive,emas
Charging from 20% to 80% took exactly 32 minutes at the 100kW DC charger.,neutral,neutral,emas
Drove e.MAS 7 for errands all day and didn’t feel tired. Seats are surprisingly comfy.,positive,positive,emas
"The white color is a bit plain, but it stays remarkably cool in the sun.",neutral,neutral,emas
BYD software is refined. Proton software feels like a beta test for customers.,negative,negative,emas
Range anxiety is keeping me up at night. I constantly check the charging app. 😰,negative,negative,emas
Suspension in e.MAS 7 absorbs bumps better than a typical gas car,positive,positive,emas
Charging at a fast station is a breeze. I was back on the road in 30 minutes. ⚡💨,positive,positive,emas
"Gas mileage is disappointing, not efficient",negative,negative,emas
"Dashboard layout makes sense, easy to use",positive,positive,emas
Interior feels cramped on long trips vs gas car,negative,negative,emas
"Feels bulky, hard to maneuver",negative,negative,emas
"Acceleration slow, tires spin",negative,negative,emas
Home charging is just so convenient. I never have to worry about gas stations again. 🔌🔋,positive,positive,emas
BYD Blade Battery is a proven technology. I don't trust Proton's first attempt at an EV battery yet.,negative,negative,emas
"Feels big and hard to park, lowkey stressful",negative,negative,emas
e.MAS 7 is okay but nothing about it stood out. Very forgettable experience.,negative,negative,emas
The piano black trim is a total nightmare. It’s covered in scratches and fingerprints already. 📉,negative,negative,emas
I expected more from e.MAS 7 honestly. It’s smooth but kinda boring.,negative,negative,emas
"NO CAP, the interior lighting makes this feel like a RM300k luxury car. ✨😤",positive,positive,emas
The hidden drawer under the rear seat is a great place to keep my laptop out of sight.,positive,positive,emas
"Steering feels stiff at low speeds, not smooth",negative,negative,emas
"Bro, every ride feels like VIP treatment 👑",positive,positive,emas
Finally a car that matches my drip 😎,positive,positive,emas
Feels futuristic but practical,positive,positive,emas
The hidden storage under the rear seat is a very clever use of space. 😎,positive,positive,emas
The 15.4-inch 2.5K screen is absolutely beautiful. Best in class clarity.,positive,positive,emas
I feel like I'm driving the future. It’s such a modern and advanced car. 🚀✨,positive,positive,emas
Suspension smooths out road bumps,positive,positive,emas
"Legit, friends be jealous when I roll up 😏",positive,positive,emas
"Dashboard interface confusing, gas car simple and reliable",negative,negative,emas
Maintenance is so much cheaper than my previous SUV. I'm saving a fortune.,positive,positive,emas
The sun visor is too short. It doesn't block the sun coming from the side.,negative,negative,emas
Interior materials feel cheap,negative,negative,emas
"Tech glitches too often, can’t rely on it",negative,negative,emas
Feels outdated compared to peers,negative,negative,emas
"33 storage spaces sounds like a lot, and it actually is. I find new cubbies every day!",positive,positive,emas
"Gas car engine noise gets annoying, EV is silent bliss",positive,negative,emas
Cabin feels cramped for taller peeps,negative,negative,emas
The 15.4-inch display is stunning. It’s like having a high-end tablet in the dash.,positive,positive,emas
"The price is high, but given the technology, it’s a very competitive offer.",neutral,neutral,emas
The generic exterior makes it hard to find my car in a crowded parking lot. 🚗❓,neutral,negative,emas
Ride quality consistent on different roads,positive,positive,emas
The generic design makes it look like a white-label car from China. No identity. 😴,negative,negative,emas
"Exterior details are classy, not flashy",positive,positive,emas
"Steering feel in e.MAS 7 = perfect, BYD feels stiff",positive,positive,emas
Acceleration isn’t thrilling like a gas car,negative,negative,emas
The interior materials feel very premium. The soft-touch surfaces are a very nice touch.,positive,positive,emas
"Lowkey, the quiet cabin in e.MAS 7 makes long drives less tiring than a gas car",positive,positive,emas
It's a heavy vehicle but the battery placement makes it feel very stable on the road.,positive,positive,emas
The e.MAS center gave me an excellent walkthrough of all the car's advanced features.,positive,positive,emas
Acceleration feels weak at low speeds,negative,negative,emas
Lowkey impressed by how chill e.MAS 7 feels. Perfect car for daily routine vibes.,positive,positive,emas
The key fob feels like a cheap toy from a 2005 sedan. It needs a premium upgrade.,negative,negative,emas
e.MAS 7 handles long trips way better than BYD,positive,positive,emas
"Dashboard interface lags occasionally, annoying",negative,negative,emas
I just did a 300km trip and the seats were surprisingly comfortable. No back pain at all! 💺✨,positive,positive,emas
"It’s a clean-looking SUV. It doesn't shout that it's an electric car, which I like.",positive,positive,emas
Exterior paint chips easily,negative,negative,emas
Acceleration hits right for city and highway,positive,positive,emas
Ride height is perfect. High enough to see over traffic but easy to get in and out.,positive,positive,emas
Tech glitches make driving annoying,negative,negative,emas
"The interior of e.MAS 7 is giving luxury-lite vibes. For the price, this is kinda insane 💸",positive,positive,emas
There are some minor panel gaps on the exterior that could be improved.,negative,negative,emas
Steering feedback feels natural,positive,positive,emas
"Feels so futuristic, I’m shook 🫢",positive,positive,emas
The car is very quiet at low speeds. It makes for a very serene experience. 👻✨,positive,positive,emas
The driving position is very ergonomic. I feel comfortable even after several hours behind the wheel.,positive,positive,emas
The build quality of the dashboard is a bit questionable. I can hear some small rattles.,negative,negative,emas
"EV torque inconsistent, acceleration uneven sometimes",negative,negative,emas
Suspension feels stiff on small bumps,negative,negative,emas
"Steering alignment off, needs constant fixing",negative,negative,emas
The experience was smooth but forgettable. Nothing stuck with me.,negative,negative,emas
Instant torque makes overtaking on the highway so much safer and more confident. 💨,positive,positive,emas
Exterior scratches too easily,negative,negative,emas
"Dashboard tech glitches sometimes, super annoying",negative,negative,emas
"Suspension is rough, feels every bump",negative,negative,emas
The key fob is made of very cheap-feeling plastic. Not what I expected for an EV.,negative,negative,emas
"Charging speed slower than filling up gas, rip my time",negative,negative,emas
"Took both on a weekend trip, EV torque + comfort beats gas car",positive,positive,emas
"Interior lighting isn’t distracting, subtle",positive,positive,emas
The software update process is slow and has already failed on me twice. 📉🛠️,negative,negative,emas
Lane Keep Assist is way too intrusive. It feels like the car is constantly nagging you. 🥊🚗,negative,negative,emas
"Ride feels dull, not engaging",negative,negative,emas
I didn't realize how much more expensive EV insurance would be. It's a bit of a shock. 💸,negative,negative,emas
the boot space in the Atto 3 is more usable for my strollers. e.MAS floor is too high.,negative,negative,emas
This is a very refined product. Proton has clearly learned a lot from this project.,positive,positive,emas
Home charging is just so convenient. I never have to worry about finding a station. 🔌🔋,positive,positive,emas
"Why does the speed warning reset to ""On"" every time I start the car? So annoying.",negative,negative,emas
e.MAS 7 doesn’t scream luxury but still feels refined enough. Clean and comfy combo 😎,positive,positive,emas
"The wheelbase is 2750mm, which provides a very stable ride but makes tight U-turns a bit wide.",neutral,neutral,emas
Proton's huge service network is the main reason I felt comfortable buying my first EV.,positive,positive,emas
"Easy to park, handles tight spots well",positive,positive,emas
Acceleration + smooth ride = perfect EV combo,positive,positive,emas
The wireless charging pad makes my phone run dangerously hot. 🔥,negative,negative,emas
Instant torque makes overtaking on the highway so much safer and more confident. 💨,positive,positive,emas
"Gas car heavy on city streets, EV glides effortlessly",positive,positive,emas
"Charging speed slower than expected, rip my time",negative,negative,emas
The OTA software update process is slow and has failed on me once before. 📉🛠️,negative,negative,emas
The exterior is boring. Looks like every other Chinese EV on the road. 😴,negative,negative,emas
Insurance is so much more expensive for EVs. I wasn't expecting that cost. 💸,negative,negative,emas
The e.MAS 7 is surprisingly agile for an SUV. The low center of gravity really helps.,positive,positive,emas
The car feels smooth but lacks excitement. e.MAS 7 is kinda boring 😐,negative,negative,emas
"Gas car feels like work to drive, EV = chill vibes",positive,positive,emas
why does the car beep every time a motorcycle passes me? it’s way too sensitive. 📢🛵,negative,negative,emas
"The exterior styling is safe and clean, but it's not going to win any design awards.",neutral,neutral,emas
e.MAS 7 is practical but not fun. Depends on what you want.,negative,negative,emas
Lack of a spare tire is a major concern for me when traveling long distances.,negative,negative,emas
Best purchase I’ve made in years. I’m never visiting a gas station again! ⛽👋,positive,positive,emas
The 160kW motor provides plenty of power for highway overtaking situations.,positive,positive,emas
Exterior paint scratches too easily,negative,negative,emas
The build quality of the dashboard is a bit questionable. I can hear some small rattles.,negative,negative,emas
It's basically an electric X70 with better tech. I'm into it.,positive,neutral,emas
"The sun visor doesn't extend, so it doesn't block the sun coming from the side.",negative,negative,emas
Cabin noise low even at speed,positive,negative,emas
"Feels like it handles like a boat, not fun",negative,negative,emas
"Suspension not smooth, bumpy ride",negative,negative,emas
"Love the sound system, music sounds crisp",positive,positive,emas
"Feels bulky, not agile",negative,negative,emas
The panoramic roof on the Atto 3 feels better integrated. Proton’s looks like an afterthought.,negative,negative,emas
"It's a quiet drive, though you can hear some tire roar on coarser road surfaces.",neutral,neutral,emas
"Took both on a highway run, EV acceleration feels instant, gas car sluggish",positive,negative,emas
"BYD Atto 3 exterior looks okay, but e.MAS 7 just pops",positive,positive,emas
"Took both on a long run, EV comfort = unmatched, gas car seats stiff",positive,positive,emas
Home charging is just so convenient. I never have to visit a gas station. 🔌🔋,positive,positive,emas
The car is very quiet at low speeds. It makes for a very serene experience. 👻✨,positive,positive,emas
e.MAS 7 gives me stress-free driving vibes. Perfect for daily commute.,positive,positive,emas
"It’s just an electric SUV. It doesn't have the ""soul"" of a petrol car, but it's fine.",neutral,neutral,emas
"Feels heavy, not nimble in traffic",negative,negative,emas
Tech setup is smart and user-friendly,positive,positive,emas
"Took e.MAS 7 vs my buddy’s gas car, no cap, EV ride feels 10x smoother",positive,positive,emas
The car comes with Level 2 ADAS as standard. Great value for the price point.,positive,positive,emas
The aircon fan is quite loud at higher settings. It ruins the silent EV experience. ❄️🔊,negative,negative,emas
The lane keep assist is way too aggressive and feels like it's fighting me. 🥊🚗,negative,negative,emas
Driving this car hits different 🔥,positive,positive,emas
"Interior lighting isn’t annoying, subtle vibes",positive,positive,emas
The software is definitely the weak point. It is slow to respond and feels very unpolished.,negative,negative,emas
The storage cubbies are everywhere. I love how organized I can keep the car with kids around.,positive,positive,emas
THIS CAR IS A BEAST. The instant power makes every green light feel like a race. 🚀🏁,positive,positive,emas
"Steering is light, EV torque fun to play with",positive,positive,emas
The auto-wipers are completely useless in light rain. They just don't trigger fast enough. ⛈️🤡,negative,negative,emas
"It’s a good vehicle. It doesn’t excite me much, but it does everything well.",neutral,neutral,emas
"Vibes too strong, can’t even explain 🫣",positive,negative,emas
"100% worth every penny. Best interior in a local car, period.",positive,positive,emas
"Aegis Short Blade battery is rated for 3,500 cycles. That’s nearly 1 million km of driving!",positive,positive,emas
The infotainment screen is way too slow to respond when I first start the car. 🐌🖥️,negative,negative,emas
Ground clearance is high enough that I don't scrape the bottom on high speed bumps.,positive,positive,emas
"Charging takes forever, kinda annoying ngl",negative,negative,emas
The silver trim around the vents reflects in the side mirrors. annoying.,negative,negative,emas
I averaged about 15kWh per 100km during my last week of city driving.,neutral,neutral,emas
Honestly impressed by e.MAS 7. It’s simple but in a good way.,positive,positive,emas
EV torque feels uneven when accelerating slowly,negative,negative,emas
I’m getting a consistent 360km range even with heavy aircon usage. Very impressed! ❄️🔋,positive,positive,emas
"Dashboard controls are intuitive, easy to reach",positive,positive,emas
